Artist(s),song,text,Length,emotion,Genre,Album,Release Date,Key,Tempo,Loudness (db),Time signature,Explicit,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness,Good for Party,Good for Work/Study,Good for Relaxation/Meditation,Good for Exercise,Good for Running,Good for Yoga/Stretching,Good for Driving,Good for Social Gatherings,Good for Morning Routine,Similar Artist 1,Similar Song 1,Similarity Score 1,Similar Artist 2,Similar Song 2,Similarity Score 2,Similar Artist 3,Similar Song 3,Similarity Score 3
Bob Dylan,Do Right To Me Baby,"Don't wanna judge nobody, don't wanna be judged,    Don't wanna touch nobody, don't wanna be touched.    Don't wanna hurt nobody, don't wanna be hurt,    Don't wanna treat nobody like they was dirt.        But if you do right to me, baby,    I'll do right to you, too.    Ya got to do unto others    Like you'd have them, like you'd have them, do unto you.        Don't wanna shoot nobody, don't wanna be shot,    Don't wanna buy nobody, don't wanna be bought.    Don't wanna bury nobody, don't wanna be buried,    Don't wanna marry nobody if they're already married.        But if you do right to me, baby,    I'll do right to you, too.    Ya got to do unto others    Like you'd have them, like you'd have them, do unto you.        Don't wanna burn nobody, don't wanna be burned,    Don't wanna learn from nobody what I gotta unlearn.    Don't wanna cheat nobody, don't wanna be cheated,    Don't wanna defeat nobody if they already been defeated.        But if you do right to me, baby,    I'll do right to you, too.    Ya got to do unto others    Like you'd have them, like you'd have them, do unto you.        Don't wanna wink at nobody, don't wanna be winked at,    Don't wanna be used by nobody for a doormat.    Don't wanna confuse nobody, don't wanna be confused,    Don't wanna amuse nobody, don't wanna be amused.        But if you do right to me, baby,    I'll do right to you, too.    Ya got to do unto others    Like you'd have them, like you'd have them, do unto you.        Don't wanna betray nobody, don't wanna be betrayed,    Don't wanna play with nobody, don't wanna be waylaid.    Don't wanna miss nobody, don't wanna be missed,    Don't put my faith in nobody, not even a scientist.        But if you do right to me, baby,    I'll do right to you, too.    Ya got to do unto others    Like you'd have them, like you'd have them, do unto you.    ",03:52,sadness,"pop rock,country,blues",Slow Train Coming,20th August 1979,F# min,99,-13.31db,4/4,No,30,51,79,60,7,12,54,0,0,0,0,0,0,0,0,0,0,Amilli,Rarri,0.9836214649362562,Niia,Nobody,0.9807963970079843,Glee Cast,Just Give Me a Reason,0.9724632530980357
Bob Seger,Cat,"Daughter, daughter, don't do that, don't do that    But daddy, I said don't do that, alright        Little cat, all alone, somewhere in the midwest    Where'd you go, who'll you be,    Maybe you'll turn out to be the best    Who knows, who knows, come on, yeah yeah    Cat cat cat cat        Every day, new day, every way, wrong way    Who'd have seen, who'd have thought    Nothing but, your tomorrow    Where and when    It doesn't matter    As long as we do it again    Cat cat cat cat cat cat cat        Hello, who are you    You know something, I'm someone too    I want to be with you, if it's all right    Gonna take you with me, make you feel all right    Yes I have a little place, please don't feel any disgrace    I wouldn't hurt you, you know that    Cat cat cat cat cat cat cat cat        Yes you're quite alone, how do you feel    I'm so glad, look in the bed    Take it easy, everything will be just fine    You don't seem to be afraid    That's wonderful    No I have no hangups    I have no hangups    How about you    You like to do it    Nothing wrong with that    What do you mean you hate your mother    Oh well come on little more a litlle more    Can I, please    Be my cat...    Cat cat oh oh ahhh    ",05:24,joy,rock,Night Moves,22nd October 1976,C# Maj,119,-6.63db,4/4,No,75,74,70,37,4,10,43,1,0,0,0,0,0,0,0,0,0,Bob Seger,Railroad Days,1.0000000000000002,Bob Seger,Simplicity,1.0000000000000002,Bob Seger,The Answer's In The Question,1.0000000000000002
"Bobby Brackins,G-Eazy,Jeremih",Big Film,"[Chorus: Jeremih] She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film Over five hunnid mil, box office She lookin' like a big film She lookin' like a film and let's party  [Verse 1: Bobby Brackins] I love big films Sorry, don't got no chill In an 0-18 or an old school Boo, thang hot, but I'm so cool Dead with the fashion, killin' it every castin' Ebony to so beautiful, she belong up in pageants Poppin' the pharmaceuticals mama left in the cabinet Gang, gang, it's a knife, I'm stabbin' it Big film, and baby, it's been real Thank you for drippin' on me like a windshield I love how this shit feel, if tomorrow I get killed Leave her body here, we're makin' a big film [Chorus: Jeremih] She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film Over five hunnid mil, box office She lookin' like a big film She lookin' like a film and let's party  [Verse 2: G-Eazy] Yeah, J-Lo, Scar Jo, nympho, round 4 She the lead role, play her part though With no extra baggage, no cargo Ugh, ugh, every boss need a real wife Like Scarface needed Michelle Phife It won't go bad if it gets trife From this life, on the next life Bad and she boujee She got a temper If I cheat, she might go join the Avengers Rather be Iron Man, she could be Pepper My baby a big film, she stay front and center like  [Chorus: Jeremih] She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film Over five hunnid mil, box office She lookin' like a big film She lookin' like a film and let's party [Verse 3: Jeremih] She lookin' like a big film Over five hunnid mil, box office Throwin' them down, them big deals We sip enough for her to get nauseous Niggas like to ride with that steal You need it when you doin' big business Universal budget, big deal Sign the dotted line, you know you gold pendant Hunnid thousand on the wardrobe Golden like globe, I love your fashion Halle Berry, Scarlett Johansson You look so good and ain't even actin' And I like to ride on big wheels Since I was a baby, rollin' with my shawty  [Chorus: Jeremih] She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film Over five hunnid mil, box office She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film She lookin' like a film and let's party [Outro: Jeremih] She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film She lookin' like a big film She lookin' like a film and let's party She lookin' like a big film",03:22,sadness,hip hop,Big Film (feat. G-Eazy & Jeremih),13th July 2018,E Maj,101,-6.93db,4/4,Yes,9,54,72,79,5,26,23,0,0,0,0,0,0,0,1,0,1,Toni Romiti,Slept On Me,0.9516725121516476,Young Cutta,The Flashing Lights,0.9509919993735634,Kringe,23,0.9498053217332623
Bon Iver,00000 Million,"[Verse 1] Must've been forces, that took me on them wild courses Who knows how many poses that I've been in But them the main closest, hark! It gives meaning mine I cannot really post this, ah, feel the signs  [Chorus] I worried 'bout rain and I worried bout lightning But I watched them off to the light of the morning Marking the slope, slung low in the highlands (Where the days have no numbers) If it's harmed me, it's harmed me, it'll harm me, I let it in  [Verse 2] Oh, the old modus: out to be leading live Said, comes the old ponens, demit to strive A word about Gnosis: it ain't gonna buy the groceries Or middle-out locusts, or weigh to find  [Chorus] I hurry 'bout shame and I worry 'bout a worn path And I wander off, just to come back home Turning to waltz, hold high in the lowlands ('Cause the days have no numbers) It harms me, it harms me, it harms me like a lamb [Verse 3] So I can depose this, partial to the bleeding vines Suppose you can't hold shit, how high I've been What a river don't know is to climb out and heed a line To slow among roses or stay behind  [Chorus] I've been to that grove Where no matter the source is And I walked it off, how long I'd last Sore-ring to cope, whole band on the canyon (When the days have no numbers) Well it harms me, it harms me, it harms me, I'll let it in",03:53,fear,"electronic,folk,experimental","22, A Million",30th September 2016,F Maj,127,-17.05db,4/4,No,44,10,38,30,4,8,98,0,0,0,0,0,0,0,0,0,0,Johnny Cash,First Time Ever I Saw Your Face,0.9951937401639755,Natasha Bedingfield,Wild Horses,0.9930442536623363,Billy Joel,And So it Goes,0.9927158436955869
"Brandon Beal,Christopher",Twerk,"Lil’ Mamma gotta ass so fat I ain’t never seen it twerk like that So when she turn around and work it Back it up and dump it Ask her who she twerkin’ for like that She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy Go go  Clap it up, clap it up It’s a celebration Shawty layin’ on the money man I think she played all kinda girls Black, Puerto Rican, Asian White Girl fat ass look so amazin’ Rack it up, ra ra rack it up Turn around and let me see ya Ba ba back it up Shawty bouncin’ in the club, NBA with it Pop one two cheecks Shawty bangin’ it Aye Shawty gotta ass like a mothafucka If she throw it at me, Imma hit the mothafucka I got hands but my plans is to never cuff ‘em But we start twerkin’, sista workin’ out this mothafucka Lil’ mamma gotta ass so fat I ain’t never seen it twerk like that So when she turn around and work it Back it up and dump it Ask her who she twerkin’ for like that She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy Go go  Lil Mamma cause ya booty got swag I ain’t never seen a ass like that The way she drop it and she twerk it, drop drop it And she twerk it make a nigga wanna dump her off bad Swag on deadly, why would I lie about it I throw it in the air so sky about it You see them grey clouds, that’s the real kush And that pole you bouncin’ on, that’s the real wood Now drop drop, drop it on the floor Shawty ass make me wanna put a rock on that ho I like a real hood bitch that can wobble for the dough Shaped like a coke bottle, I’ll swallow that coke, yep Shawty gotta ass like a mothafucka If she throw it at me, Imma hit the mothafucka I got hands but my plans is to never cuff ‘em But we start twerkin’, sista workin’ out this mothafucka Lil’ mamma gotta ass so fat I ain’t never seen it twerk like that So when she turn around and work it Back it up and dump it Ask her who she twerkin’ for like that She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy She say she twerkin’ it for daddy Twerk-twerkin’ it for daddy Go go Yeah Shawty gotta ass like a mothafucka If she throw it at me, Imma hit the mothafucka I got hands but my plans is to never cuff ‘em But we start twerkin’, sista workin’ out this mothafucka Twerkin’ it for daddy Twerkin’ it for daddy Twerk-twerkin’ it for daddy Twerkin’ it for daddy Twerk-twerkin’ it for daddy Twerkin’ it for daddy Twerk-twerkin’ it for daddy Twerkin’ it for daddy Twerk Twerkin’ it for daddy Twerk Twerkin’ it for daddy Twerk Twerkin’ it for daddy Twerk",03:20,anger,hip hop,Truth,22nd July 2016,B Maj,68,-7.81db,5/4,Yes,57,41,62,34,39,11,20,0,0,0,0,0,0,0,0,0,0,Foolio,Glock on Tuck,0.9751843448420775,Lil Baby,How,0.9708871651722224,"50 Cent,Jeremih,Lil Durk",Power Powder Respect,0.964271901559171
Brian McKnight,Youre Gonna Be OK,"[Verse 1] I know it's all you've got to just be strong And it's a fight just to keep it together, together I know you think that you are too far gone But hope is never lost, hope is never lost  [Pre-Chorus] Hold on, don't let go Hold on, don't let go  [Chorus] Just take one step closer Put one foot in front of the other You'll get through this Just follow the light in the darkness You're gonna be ok  [Verse 2] I know your heart is heavy from those nights But just remember that you are a fighter, a fighter You never know just what tomorrow holds And you're stronger than you know, stronger than you know [Pre-Chorus] Hold on, don't let go Hold on, don't let go  [Chorus] Just take one step closer Put one foot in front of the other You'll get through this Just follow the light in the darkness One step closer Put one foot in front of the other You'll get through this Just follow the light in the darkness You're gonna be ok  [Outro] And when the night is closing in Don't give up and don't give in This won't last, it's not the end, it's not the end You're gonna be ok When the night is closing in Don't give up and don't give in This won't last, it's not the end, it's not the end You're gonna be ok",04:07,joy,"rnb,soul,pop",Back At One,21st September 1999,G min,127,-9.88db,4/4,No,58,34,72,37,3,11,49,0,0,0,0,0,0,0,0,0,0,Brian McKnight,For the One,1.0,Brian McKnight,Mention of Your Name,1.0,Brian McKnight,Only Jesus,1.0
Burning Spear,African Teacher,"Teach me, teach me, teach me, teach me, Teacher Teach I and I Amharic Teacher Teach me, teach me, teach me, teach me, Teacher Teach I and I African Teacher  I never be late, I always early I never absent I always present That's why I and I nah sit down inna no back bench Natty like to be bright, bright, bright So bright Bright, bright, bright So bright  African teaching is a part of I and I Culture O yes part of I and I Teach me, teach me, teach me, teach me, Teacher Teach I and I Amharic Teacher  I admit we go to school But we never finish Not until we reach upon The soil of Africa, where in I and I can be teached by African Teachers O yes I and I can be teached by African Teachers Teach me, teach me, teach me, teach me, Teacher Teach I and I Amharic Teacher Teach me, teach me, teach me, teach me, Teacher Teach I and I Amharic Teacher  O right teach I and I and I Amharic I like to be teached by African, African Teacher So right, Natty like to be bright so bright So bright so bright brighter bright Bright Natty Bright Natty Bright Natty Bright So bright natty like to be teached by African Teacher Teacher Teach natty Amharic Teacher Is a part of I and I So right Natty Teacher, Amharic Teacher, African Teacher Teach I and I and I and I Amharic Teacher Teach I and I and I and I natty like to be bright so bright  I and I",04:00,joy,reggae,Hail H.I.M,28th July 1980,E Maj,79,-11db,4/4,No,41,52,80,96,6,16,17,19,0,0,0,0,0,0,0,0,0,"Kurt Maloo,Double,Herb Alpert,Pit Baumgartner",Subway,0.9593370859820664,Steel Pulse,Reggae Fever,0.9403403569600074,L.A.B.,Dancing in the Night,0.9397874658218709
Calvin Russell,One Meatball,"A little man walked up and down To find an eating place in town He read the menu through and through To see what fifteen cents could do  One meat-ball, one meat-ball He could afford but one meat-ball One Meatball - Josh White A little man walked up and down He found an eating place in town He read the menu through and through To see what fifteen cents could do One meatball, one meatball He could afford but one meatball He told the waiter near at hand The simple dinner he had planned The guests were startled, one and all To hear that waiter loudly call, ""What ""One meatball, one meatball? Hey, this here gent wants one meatball."" The little man felt ill at ease Said, ""Some bread, sir, if you please."" The waiter hollered down the hall ""You gets no bread with one meatball ""One meatball, one meatball Well, you gets no bread with one meatball."" The little man felt very bad One meatball was all he had And in his dreams, he hears that call ""You gets no bread with one meatball ""One meatball, one meatball Well, you gets no bread with one meatball.""",04:22,fear,hip hop,Le voyageur,15th August 1997,A min,112,-12.64db,4/4,No,5,55,53,64,4,97,3,0,0,0,0,0,0,0,1,0,1,Diane Schuur,Caught a Touch of Your Love Live,0.9766840518083252,Lake Street Dive,My Hearts In Its Right Place,0.9727256797948446,Van Der Graaf Generator,Mirror Images,0.9679468289121463
Can't Swim,Hell In A Handbasket,"[Verse 1] Have a party at my funeral where no one has to grieve Drink and dance the night away where no one dares to leave Don't make me turn this car around I’m driving us into the ground So I pedal to the metal as the engine kicks and screams Push it to the limit till it runs right out of steam  [Pre-Chorus] I fade away in cruise control The distance starts to take its toll On me So let's start again  [Chorus] Wake me up, I'm not getting younger Hurry up, I can’t wait much longer (How long will I wait?) Someone take me out of my misery  [Verse 2] In the middle of the night is where it seems to hurt the most Morning brings the light again but it's still getting worse I drive into the desert sun Mirage of all the bad I've done In my travels I have left a trail of breadcrumbs, hidden clues Words within the lyrics that I wish were never true [Pre-Chorus] I fade away in cruise control The distance finally takes its toll On me So let's start again  [Chorus] Wake me up, I'm not getting younger Hurry up, I can't wait much longer (How long will I wait?) Someone take me out of my misery  [Bridge] Does anyone remember the ones in the second place? This failure seeps into my veins Will I be remembered for songs I didn't write? I fade away and lose control  [Outro] Wake me up, I'm not getting younger Hurry up, I can’t wait much longer (How long will I wait?) Someone take me out of my misery (How long will I wait?) Save me from myself, my worst enemy",03:04,sadness,hip hop,This Too Won't Pass,16th November 2018,G Maj,145,-6.6db,4/4,No,21,73,46,38,5,24,0,0,0,0,0,0,0,0,0,0,0,Mudcrutch,Beautiful World,0.9850607893094687,Yorke,Thought I Could,0.9791063645603645,"O'Brother,Simon Neil",Halogen Eye,0.9752513271942763
Cancerslug,Dick Solid,"[Verse] They say these times are a-changing but I don't know when The same ol’ bullshit's comin' back again And everybody just spreads like leaves in the wind Right when the motherfucking trouble starts Comin’ out, comin' up, comin' over the hill You all say you wanna help but you never will And just as soon as you're gone, you know I'll be here still Right when the motherfucking trouble starts  [Chorus] I'm staring down death with my dick in my hand Solid as a rock, I don't give a damn I'm here to fuck or fight my way out of a jam And I will be the last man standing Kill the judges and the cops and the president Burn the schools and the churches We will not repent! Kill your parents and send me all your money and then kill yourself I’ll be the last man standing [Verse] Fucking tired of religion and politics Fucking cattle, you deserve just what you get Fucking infant, still sucking on your mother’s tit Right when the motherfucking trouble starts You all love to play the victim, oh, so much You're gettin’ played, and now you blow each other up You're so concerned with me there ain't no time for us And now, the motherfucking trouble starts  [Chorus] I'm staring down death with my dick in my hand Solid as a rock, I don’t give a damn I'm here to fuck or fight my way out of a jam And I will be the last man standing Kill the judges and the cops and the president Burn the schools and the churches We will not repent! Kill your parents and send me all your money and then kill yourself I'll be the last man standing  Suck my dick! Suck my dick! Suck my dick! Suck my dick! Dick ""Wake The Fuck Up!""",02:17,anger,hip hop,Beating a Dead Whore,10th March 2018,F min,173,-3.69db,4/4,Yes,33,92,20,40,13,27,0,3,0,0,0,0,0,0,0,0,0,Dwarves,I Will Deny,0.9852958565498965,Frenzal Rhomb,Russell Crowes Band,0.9811040256249807,"Lionheart,Jesse Barnett",Rock Bottom,0.9775620575011352
Cappadonna,Blood on Blood War,"Yo, break that dutch down  [First Verse: Cappadonna] You and your man, y'all fucked up for real Now we got to show y'all niggas the deal I sling raps, like cracks on the street Attack, riot, rise above Smash y'all, trash y'all, show y'all love Thoughts are bright like a lightbulb Ice cold raps, you stroll Lease a finance, one chance, be my CD entity Your energy is too low to bite my slug You get drug behind bars and death is stoled on Your code too simple, you best to hold on Meet number three slang auxilary, and slang therapy Based upon a true story, throw darts Cut markers, straight duplicators, it's the terminator, Wu Killa Bee Understanding, old special ed with the plate in my head Bad bread, spare life, KKK on the mike, power like thing of state What, play with the pussy and fuck Stuck with the poles forever, what Wu-Tang Forever, never sleep Lyrics that kill, murder one voice Chill or get dropped, your weak team ain't appropriate to no lessons Adolescence, rhyme war, encore, surrender to my rap, I'm stuck on the map Like I told you before winter war, in these days of hardcore Smoke never stop clearing, stop cheering, you making me hot Acid rain, a capell, wet you And upset you, get you death threat, on cassette, it's the project Reject, with the mic check Set to be the son that set the place off Face off, my darts is loving you, cyanide made your piss smell like flouride Heavy stride, see it from the outside, archive five, smoke blunts hard [Chorus: Killa Bamz] Blood on blood war, take your mind on tour, stand tall like the Berlin Wall Automatic darts are pulled Stand for, never ignore the silence and violence We live for a blood on blood war Blood on blood war, take your mind on tour, stand tall like the Berlin Wall Automatic darts are pulled Stand for, never ignore the blood on blood war Uncut raw we live for  [Second Verse: Cappadonna] All I need, is ten big bags of weed Twenty-four acres of land so I could breathe Money like Dusty, Prize like Leon, throw darts at you if the heat's ever on Split you with the .45 caliber rap Beat y'all down with shit that sound fat Call 911, you still can't score You and your dulla ain't prepared for the war Yeah, you got heat but we got C4 Plus we got buildings that's watching your door Hunchback, Chi-kids, Brother Jihad VGL, FMF, the Bam Squad Terrorize y'all from every direction Call up Hot 97 for protection Cappadonna, from the Wu-Tang Clan Spotted last night in the all black van Coming down the block with guns out the windows Licking shots off every time a wind blow My class come first, I'm first to represent Killa Bees linger in the air like incense Instant action, speed of a satellite, insight Sight snakes from afar Ajar, one side of a 2 faced bar Project star, CD hackers Supreme rapper, with the baseball cap I attack fatal on the track [Chorus: Killa Bamz] Blood on blood war, take your mind on tour, stand tall like the Berlin Wall Automatic darts are pulled Stand for, never ignore the silence and violence That we live for a blood on blood war Blood on blood war, take your mind on tour, stand tall like the Berlin Wall Automatic darts are pulled Stand for, never ignore the blood on blood war Uncut raw we live for Yeah  *6 gunshots, then the dropping of shells in the background*",03:55,anger,hip hop,The Pillage,17th February 1998,C Maj,93,-7.11db,4/4,No,20,59,83,58,30,45,8,0,0,0,0,0,0,0,1,0,0,"Luther Vandross,Foxy Brown",If it Aint One Thing,0.9778039383329963,"Shaquille O'Neal,Phife Dawg",Giggin on Em,0.9738815909703905,Canibus,Mic-Nificent,0.9726632732507351
"Caro Emerald,Lokee",Tangled Up Lokee Remix,"[Intro] One, two, three, four!  [Verse 1] I took the perfect avenue Down the road to both of you Did I go Dutch? This is too much With all the money in the world, you could never buy this girl Quite enough, it will be tough If romancing me with neons is something you should do Make the letters bright and luminous and blue  [Chorus] And get me wakin' up, shake it up Tangled up You could be quakin' up, make it up Tangled up You can't be fakin' it, makin' it from my love Before it's tragedy, don't get me tangled up [Post-chrous] (Ya ya) (Ya ya ya ya) Tangled up (Ya ya) (Ya ya ya ya) (Ya ya) (Ya ya ya ya) Tangled up (Ya ya) (Ya ya ya ya)  [Verse 2] I can't separate your sins, to me you're acting like you're twins This is a mess Is this a test? How many guesses do I get til' only one of you is left? You're quite the same, if love's the game I want to see emotions colouring the sky To the point it will make me wanna cry  [Chorus] And get me wakin' up, shake it up Tangled up You could be quakin' up, make it up Tangled up You can't be fakin' it, makin' it from my love Before it's tragedy, don't get me tangled up [Post-chrous] (Ya ya, ooo) (Ya ya ya ya) Tangled up (Ya ya, ooo) (Ya ya ya ya) (Ya ya, ooo) (Ya ya ya ya) Tangled up (Ya ya, ooo) (Ya-) (Ya ya, ooo) (Ya ya ya ya) (Ya ya, ooo) (Ya ya ya ya) (Ya ya, ooo) (Ya ya ya ya) Tangled up (Ya ya, ooo) (Ya ya ya ya)  [Bridge] Treating girls like a yo-yo Is a no no of a monumental kind If playing with your string happens to be your thing It's easy to say to both ""Oh, nevermind."" [Chorus] And get me wakin' up, shake it up Tangled up You could be quakin' up, make it up Tangled up You can't be fakin' it, makin' it from my love Before it's tragedy, don't get me tangled up  [Outro] Mmm-uuum Tangled up Mmm-ooo Tangled up Hmm, hm-hmm Tangled up Ohhuoo, oh-oh-oh Tangled up",03:25,joy,hip hop,The Shocking Miss Emerald (The Remixes),4th August 2024,A min,126,-3.95db,4/4,No,60,63,92,82,6,7,7,0,1,0,0,1,0,0,0,1,1,"Caro Emerald,Lokee",Tangled Up,1.0,Bob Marley & The Wailers,Easy Skanking,0.9883381930260212,Bob Marley & The Wailers,Put It On,0.9883381930260212
Carte Contact,Like a Dog,"Hello? Hello! Hello? Hellooo!  Hello, how are you? I've some feelings for you Where are you going to? Can't you stop?  Life is going on And you're nice With your dog And your tie When you smile!  Look at that smile Won't you come... Don't you wanna uh… Freeze mother fucker don't move!  Cos' a train just run over me Life is going on I beg your pardon I'm not nasty, am I? Stop walking or die!  REFRAIN Love me love me love me love me like a dog Take me take me take me now Hit me hit me hit me hit me like a dog Take me take me take me home   I've some feelings for you Cos' you know what I mean Time for the rendez-vous I'll get you jelly bean  It's a crush for Christmas And a crash on the road Get the top you're my boss Or maybe you're my god!  I call upon you I can praise you too To take my breath away And take my money too!  Let's go on the highway Remake of Waterloo And if God got a dog Be my master come on! Oh baby take a rest Oh baby do your best Oh baby touch my breast  REFRAIN x2 Shake it up, make it up!  Are you married or what? Whatever What's your name again?  Whatever",03:38,joy,hip hop,Jeune femme (Original Motion Picture Soundtrack),26th October 2017,C# Maj,160,-9.61db,4/4,No,32,68,75,96,6,6,2,4,0,0,0,1,0,0,0,0,0,The Black Seeds,According To Love,0.9848696014536141,The Black Seeds,Cojiba,0.9848696014536141,Origin Roots Aotearoa O.R.A,Power of the Horde,0.9838901464985529
Casey Donahew,Burned Out,"[Verse 1] There's a little whiskey left so I take another rip It's  not just the taste I love but the smell upon my lips I  been high for three damn days and now the walls are closin' in Throwin' rocks at Sarah Anne's window, prayin' she lets me in  [Chorus] 'Cause I been howlin' at the moon Screamin'  hell yeah bring on the Sun Ain't  no doubt about it, baby you know I was born to run I'm tryna find a girl who isn't all talk Thinkin'  that the good times they never end Burned out on blacktops, a case of beer, and a couple of friends  [Verse 2] Lifted a little wine from the Quick and Go Out at the end of Pike Row I'm  gonna kick up a bonfire later And I don't care if it ain't that cold And don't bother tryna call me We got nothing to talk about And if my friend shows up with my ex Well, I'm gonna knock his ass out [Chorus] 'Cause I been howlin' at the moon Screamin' hell yeah bring on the Sun Ain't no doubt about it, baby you know I was born to run I'm tryna find a girl who isn't all talk Thinkin' that the good times they never end Burned out on blacktops, a case of beer, and a couple of friends  [Bridge] Now the whiskey's turning, I'm fadin' As the sun creeps through the trees God forsaken, fallin' apart, got me prayin' on my knees  [Chorus] 'Cause I been howlin' at the moon Screamin' hell yeah bring on the Sun Ain't no doubt about it, baby you know I was born to run I'm tryna find a girl who isn't all talk Thinkin' that the good times they never end Burned out on blacktops, a case of beer, and a couple of friends",03:21,anger,hip hop,One Light Town,26th July 2019,F Maj,162,-5.22db,4/4,No,33,76,56,86,5,8,4,0,0,0,0,1,1,0,0,0,0,TOTO,Carmen,0.9893917615674439,"""Weird Al"" Yankovic",Polka Party!,0.9887099395981348,Miranda Lambert,Dry Town,0.9832139334604355
"Cassper Nyovest,Stonebwoy",Fever,"[Intro: STONEBWOY]  [Pre-Chorus: STONEBWOY]  [Chorus: STONEBWOY]  [Verse 1: Cassper Nyovest] Allow me to reintroduce myself, my name is Cassper I'm a young nigga from the streets Dumb niggas say I came up cause of beef Hood niggas listen to my songs every week They say every single line give them hope to believe That they dreams is in they reach So every single time I perform in the hood, they don't clap they say ""Preach"" Nigga I wouldn't come out, with a scratch on my sleeve Even if you attack in my sleep It's a fact, I'm a beast I just laugh at these G's tryna compare themselves to Cass I'm like ""Please, ain't no man in my league"" Took twenty four awards at the age of 24 with one album When will you understand that you weak compared to me? Don't act like you don't see him Dropping classics like kids at the museum I work my ass off but some days is carpe diem And I'ma cop a Bentley the day you cop a BM (Whoo!) [Chorus: STONEBWOY]  [Verse 2: Cassper Nyovest] Yeah, uh See right about now nigga You already know who the man is And if it's not clear come and see me at the mansion And chances, you might find bad bitches dancing Ignore my nigga, let's get straight to the action Azishe tsotsi! Now that I have your attention, let me tell you why I always floss like a dentist I came a long way I used to distribute pamphlets So ain't no way in hell I won't act outlandish, yeah This for my gangsters, we made it way up And I ain't never lost a battle since day one I try to keep it humble like ""Eish tjo, kea e zama"" But everybody knows I done fucked the game Nigga I'm major Nah, I'm really major you should check the stats Even on stage I bring the hits out back to back I'm in the stu' everyday tryna perfect the craft I know Bridge got me I never gotta check the cash, whoa!  [Bridge: STONEBWOY]  [Chorus: STONEBWOY]",03:28,sadness,hip hop,Refiloe,6th November 2015,G min,98,-4.02db,4/4,Yes,9,85,69,53,39,14,16,0,0,0,0,0,0,0,0,0,0,SOB X RBE,Jokes Up,0.9832979099264442,"Styles P,Pharoahe Monch",Children,0.9809240443814541,"Wax,Jarren Benton,Sahtyre",Bulletproof,0.9777039975350424
Cereus Bright,Stella,"[Intro]  [Verse 1] You been dancing I been watching you move Float like a feather You never touch the ground  [Intro]  [Verse 2] Time is turning My heart's burning me through Oh, I'm scared to close my eyes in case I Miss my chance with you  [Pre-Chorus] Didn't know what I was missing You gave me something to miss  [Chorus] I don't need anybody I'm fine here on my own But if I needed somebody It'd be you, I'd call my own I don't need anybody I'm fine here on my own But if I needed somebody It'd be you, I'd call my own [Intro]  [Verse 3] I intercept you As you walk toward the door Well, I know you've danced a hundred songs But stay with me one more  [Pre-Chorus] Didn't know how I could tell you But you could already tell  [Chorus] I don't need anybody I'm fine here on my own But if I needed somebody It'd be you, I'd call my own I don't need anybody I'm fine here on my own But if I needed somebody It'd be you, I'd call my own  [Solo]  [Chorus] I don't need anybody I'm fine here on my own But if I needed somebody It'd be you, I'd call my own I don't need anybody I'm fine here on my own But if I needed somebody It'd be you, I'd call my own",02:52,fear,hip hop,Happier Than Me,12th November 2013,D Maj,117,-6.34db,4/4,No,52,75,60,62,3,11,5,0,0,0,0,0,0,0,0,0,0,Fiona Apple,Better Version Of Me,0.9951758263717434,The Vaccines,A Lack of Understanding,0.9925386966803452,Chase Bryant,Little Bit Of You,0.9922583872493325
