Artist(s),song,text,Length,emotion,Genre,Album,Release Date,Key,Tempo,Loudness (db),Time signature,Explicit,Popularity,Energy,Danceability,Positiveness,Speechiness,Liveness,Acousticness,Instrumentalness,Good for Party,Good for Work/Study,Good for Relaxation/Meditation,Good for Exercise,Good for Running,Good for Yoga/Stretching,Good for Driving,Good for Social Gatherings,Good for Morning Routine,Similar Artist 1,Similar Song 1,Similarity Score 1,Similar Artist 2,Similar Song 2,Similarity Score 2,Similar Artist 3,Similar Song 3,Similarity Score 3
#TheSet,Lit Forever,[Verse 1]: Getting Lit everyday I might die tomorrow Driving fast futuristic like Iʼm in DeLorean Pretty lady wanna wake up with you in the morning When I get it baby imma make it last forever Where them hoes from Georgia state Cause them hoes go Told big Guapa Iʼll catch body He already know Momma ainʼt raise no killa She ainʼt seed no hoe Let a lame be a lame Thatʼs the way it goes Going hard in the paint like Demarcus Cousin Yea Iʼm with my cousins Yea we up to something Aye Yea I caught some feelings I think your the reason Shawty from Atlanta She can be a dancer She can be a scammer Letʼs get Lit Forever aye Bridge: Itʼs gone be ok ok yea itʼs gone be ok Cuz we got it out the mud and then we made a way Head in fade fade fade high from yesterday Hold on hold on Wait a minute Letʼs remember this Let the sun shine down on your melanin Imma push to the limit but Iʼm limitless Imma push to the limit but Iʼm limitless Hook: Getting Lit everyday I might die tomorrow Driving fast futuristic like Iʼm in DeLorean Pretty lady wanna wake up with you in the morning When I get it baby imma make it last forever Letʼs get Lit Forever Lets get Lit Together Letʼs get Lit Forever Lets get Lit Together Letʼs get Lit Forever Lets get Lit Together Letʼs get Lit Forever Baby itʼs whatever [Verse 2]: Itʼs lit like arson Moon rocks ima Martian all my L turn to lessons Iʼm enjoying my youth Imma swim in her ocean Summer time in motion Yea I just popped a xan Yea I feel like the man Time to get them band Yea I flex with my friends yea Cause we stuck to the vision 4K be the image I been working on my patience Count a lot of blue faces Girl I know you not a thot I just really want some top Cause we headed to the the top Bridge: Itʼs gone be ok ok yea itʼs gone be ok Cuz we got it out the mud and then we made a way Head in fade fade fade high from yesterday Bridge: Itʼs gone be ok ok yea itʼs gone be ok Cuz we got it out the mud and then we made a way Yea Iʼm faded faded faded high from yesterday Hold on hold on Wait a minute Letʼs remember this Let the sun shine down on your melanin Imma push to the limit but Iʼm limitless Imma push to the limit but Iʼm limitless  [Hook]: Getting Lit everyday I might die tomorrow Driving fast futuristic like Iʼm in DeLorean Pretty lady wanna wake up with you in the morning When I get it baby imma make it last forever Letʼs get Lit Forever Lets get Lit Together Letʼs get Lit Forever Lets get Lit Together Letʼs get Lit Forever Lets get Lit Together Letʼs get Lit Forever Baby itʼs whatever,4:01,sadness,hip hop,LIT FOREVER,11th January 2019,C# min,150,-6.22db,4-Apr,Yes,16,71,64,62,8,12,61,0,0,0,0,1,1,0,0,0,0,Curtis Waters,Subaru,0.967228702,Sleaford Mods,In Quiet Streets,0.96203037,"MDMA,UnoTheActivist",Piccolo,0.958776887
#TheSet,FREE,[Hook] I feel I feel free Couple bands got the check on me On the Xan yeah I swear it's so sweet If she lit and that bitch on fleek Let's run away and shorty let's be free Watch my wrist yeah I whip it with the yolk That's your girl yeah she say she love the coke Brought the chain I'm the muhfucking key Come on baby let's be free  [Verse 1] This is not a wave Fuck being a slave This is (?) All you fuckboys sat aside Choking on the gas like the Holocaust When I go and buy swear I never ask the cost I'm keeping it real This is how I feel No you not a dime But I really want some time Cause you growing up Never sober up Money and the drugs now shawty wanna fuck Yeah we living young yeah [Hook] I feel I feel free Couple bands got the check on me On the Xan yeah I swear it's so sweet If she lit and that bitch on fleek Let's run away and shorty let's be free Watch my wrist yeah I whip it with the yolk That's your girl yeah she say she love the coke Brought the chain I'm the muhfucking key Come on baby let's be free  [Outro Verse] Let down your hair Come on and smoke Or we could chill Or we could fuck Be free I don't care Carefree that be carefree  {Outro Hook] If she lit and that bitch on fleek Let's run away and shorty let's be free Watch my wrist yeah I whip it with the yolk That's your girl yeah she say she love the coke Brought the chain I'm the muhfucking key Come on baby let's be free Let's be free Let's run and away and let's be free,2:55,joy,hip hop,FREE,15th June 2018,G Maj,148,-8.56db,4-Mar,Yes,5,54,76,20,20,9,40,0,0,0,0,0,0,0,0,0,0,Lil Guido,Gang,0.97668116,Beerus,Chapri Sab,0.974636543,ShaqIsDope,Ble$$ings,0.972711302
$$$ PRIN$E,So Into You Remix,"[Intro : Tamia] I think you're truly something special Just what my dreams are really made of Let's stay together you and me boy There's no one like you around, oh baby  [Verse 1 : Fabolous] Babygirl Desert Storm I can't really explain it, I'm so into you now I wanna be more than a friend to you now When they ask, I mention my baby girl in the interviews now And I don't bring the problems from the 90s and the 2 thou' Theres no reason to have a friend or two now 'Cuz the kids ready to tell you how he feel and a few vows Maybe, I speak in general now But girl, I'm a do whatever just to keep a grin on you now Where I roll, they wear bikinis in the winter too now What you think about tan lines on the skin of you now? Why wouldn't I wanna spend a few thou' On Fifth Ave, shopping sprees and them dinners to chow I ain't concerned with other men with you now As long as when I slide up in you, you growl And any dude with you, he better be a king to you now And I ain't jealous, its the principle now I'm so into you [Hook : Tamia] I really like what you've done to me I can't really explain it, I'm so into you I really like what you've done to me I can't really explain it, I'm so into you  [Verse 2 : Fabolous] Come on ma, it's more than a flashing (oh) I would've traded it all in orderly fashion (oh) My villa in Florida we crashing (oouh yeah) Just off the shore so you can hear (oh baby) When the water be splashing The Drop top 3 in the quota we dashing Flawless diamonds in the water we flashing the money We oughta be stashing I make sure ever quarter be cashed in I can't really explain it, my friends be thinking I'm slipping These girls be thinking I'm tripping What kinda weed you be smoking, what typ'a drinks you be sipping Sweet thing just to think of you dipping Would have me with the blue so hard, you would think I was cripping Now you relaxing in the Benz Credit cards are no limits, so you don't worry about maxing When you spends but since you've been asking about the friends How'd you like it if both our names had Jackson on the ends  [Hook : Tamia] I really like what you've done to me I can't really explain it, I'm so into you I really like what you've done to me I can't really explain it, I'm so into you [Verse 3 : Fabolous] I don't wanna trip, but the truth is girl the way you cook a steak Remind me of them strips at Ruth Chris You love my smile, no matter how chipped my tooth is With you it ain't because my whips is ruthless So sit on chrome, dip the deuces And you ain't flattered by Canarys and VS Dip Tay sauces All the ballers look dumb when they press you Five and sixes, you don't let them kinda number's impress you Even though I was somewhat successful yeah Being a player was becoming too stressful But ever since, this Superwoman has come to my rescue My winters been wonderful, my summers been special That's spot up at the bar while the villa been painted Just so we can really get acquainted The love is real There's no way it can feel like its tainted But I can't really explain it, yeah  [Hook : Tamia] I really like what you've done to me I can't really explain it, I'm so into you I really like what you've done to me I can't really explain it, I'm so into you  [Outro : Tamia] I really like what I feel when I'm with you You're a dream come true Don't you ever leave my side (oh no) Cause it feels so that (oooh baby ooooh) I really like what you've done to me I can't really explain it, I'm so into you I really like what you've done to me I can't really explain it, I'm so into you",2:50,joy,"rock,pop rock",$o INTO YOU. (Tamia So Into You Remix),26th May 2021,G min,90,-6.24db,4-Apr,Yes,0,38,74,12,17,10,56,0,0,1,0,0,0,0,0,0,0,AshleySmashlaay,Complicated,0.985028493,"YMP Cash,Joe Gang",Dear Samantha,0.981241193,CalenRaps,Drowning,0.96997566
$4pphire G4ng,Rage Mode,"[Intro] Rage on the beat Hm.. Rage on the rap Swag  [Verse 1] Okay I got my honeys on deck, superbad girls check Next thing, get green, money looking like Shrek No Tec, I be shootin' for the stars, no Trek Plus, I be the head of the game, no neck Damn. Your babe? I turn her on like a generator My niggas are blowin up ? Well I'm the detonator You found a Toyin ? I'mma set her later Cuz at the moment I got Cruellas and Bellas giving me elevators Tell the haters ""I'm iller than you would've been"" Higher than niggas who tripping off hallucinogens Do not be stupid with him, or he will eat you motherfuckers Like Fat Joe swallowing a double cheeseburger Still standing, leaving hoes hanging like Mr Cooper Flow so Super Duper I got Lois in my lane Read my brain and you finna get a migrane A dirty rapper, you cannot remove my stain [Bridge] (Who the baddest in the room?) Rage (Who the baddest in the room?) Rage (Who the baddest in the room?) Rage (Who the baddest in the room?) Rage  [Hook] When I'm the room, Niggas drop dead Me and a few goons, Niggas drop dead Rage Mode nigga, Rage-Rage Mode nigga Rage-Rage Mode nigga, Rage-Rage Mode nigga Or, screw a few of those hoes instead Rage kill 'em now you dead, it's how it goes nigga Rage nigga, Rage-Rage Mode nigga Rage Mode, devil with a halo nigga  [Verse 2] I see they wash me like Omo But get one thing straight like a room full of homos Back for your mother; Rage is back for another page Of lyrical danger, never minor the major Wait, this my period to come like an ovary Oh what, you tried to cross me like a rosary? Now you see; I get my girl pearls like a new phone Just to get boned, take her down like syndrome All of you commoners I'm bout to drop the bomb on this So if you got a problem, Tell Osama, Bin & Laden I've been, the one and only, my flows leave you anonymous Hoes? Get off the top of this. Watch me like I'm on your wrist Before I let you niggas use those bars I'd rather have a threesome with Bruno Mars You know I'm sick enough to bite your fucking style, then I throw it up Hol' it up, teaching Mutallab how to blow it up [Bridge + Hook]  [Verse 3] Last week, I was in a car Katy Perry in the backseat, pulling off her bra When Russell Brand asked me, ""why you so raw?"" I replied, ""cause I smack down"" yeah, Rage back now Santa Claus nigga, ho hoes all over me Oh, so many over-ds over these double-ds In Rack City, Rack Rack City I deserve ten, ten, ten, twenty if you feel me now  [Bridge + Hook]",2:14,anger,hip hop,rage mode,23rd June 2023,C# Maj,105,0.18db,4-Mar,Yes,0,97,44,34,32,40,7,0,0,0,0,0,0,0,0,0,0,"Kamiyada+,Fukkit",ACT 3/5 - VENGEANCE,0.975108872,Lil Mouse,Michael Mouse Myers Intro,0.971296375,"CHRIST DILLINGER,Wendigo",Coochie Man,0.970189464
$atori Zoom,BUSTER,[Chorus] Rider. Buster. You need it. I bleed it Geekin’ off a perc and bitch I’m feelin’ like a demon Bitch I came in drifting on the pavement Pass me the stainless. I’m mask off. Faceless  Rider. Buster. You need it. I bleed it Geekin’ off a perc and bitch I’m feelin’ like a demon Bitch I came in drifting on the pavement Pass me the stainless. I’m mask off. Faceless  [Verse 1] Fuck it up. Bitches fuck with me like a double cup Pouring up. Pull up to the scene with a double dutch Buckle up. Racing on the street with the muscle front Huddle up. Fuckin’ with my team. Yeah we coming up  Ouu. None of these bitches ever heard about you Zooming through the block with a murdered out coupe Boolin’ with a Glock. I could do without you Running with the clock. They forgot about you Get rocked I’m tight with ya bitch like a zip lock Wrist watch Icy with the drip when it tick tock Brick talk Yeah I caught a body with a headshot Get $not I’m a chili pepper bitch I’m red hot  [Chorus] Rider. Buster. You need it. I bleed it Geekin’ off a perc and bitch I’m feelin’ like a demon Bitch I came in drifting on the pavement Pass me the stainless. I’m mask off. Faceless  Rider. Buster. You need it. I bleed it Geekin’ off a perc and bitch I’m feelin’ like a demon Bitch I came in drifting on the pavement Pass me the stainless. I’m mask off. Faceless  {Verse 2] They don’t like me Bitches wanna fight me Ha. In my white tee Shorty wanna bite me She excite me Shorty Aphrodite Ha. Stepping lightly Fucking with a pisces  Gimme top I could never milli rock. Ha Ha Really thought With yo bitch. I really talk. Ha Ha  Live a lot Shock a bitch. A kilowatt. Ha Ha Pick a lock I’m about a kill a thot. Ha Ha  Shorty gone buss it for me Fucking her friends for the free Fuck her like Adam and Eve Now she want something with me  Cher I just wanna believe Love isn’t nothing for me I know she gunning for me Fuck it. I’m jugging the piece  {Chorus] Rider. Buster. You need it. I bleed it Geekin’ off a perc and bitch I’m feelin’ like a demon Bitch I came in drifting on the pavement Pass me the stainless. I’m mask off. Faceless Rider. Buster. You need it. I bleed it Geekin’ off a perc and bitch I’m feelin’ like a demon Bitch I came in drifting on the pavement Pass me the stainless. I’m mask off. Faceless,2:21,anger,hip hop,BUSTER,11th September 2019,F# Maj,127,-4.1db,4-May,Yes,61,62,88,87,24,8,24,0,1,0,0,1,0,0,0,1,1,"Ski Mask The Slump God,SahBabii",COOLEST MONKEY IN THE JUNGLE,0.988488865,Gunna,MET GALA,0.986707064,"Young Dolph,Key Glock",No Sense,0.976372284
$atori Zoom,RIPSTICK,"[Chorus] Rip it like a Razor Ripstick and I risk it Instinct. She suckin’ my dick with her lipstick Ooh. Check up on a bitch like a dipstick Ooh. Yeah she fuck with me like a misfit  Rip it like a Razor Ripstick and I risk it Instinct. She suckin’ my dick with her lipstick Ooh. Check up on a bitch like a dipstick Ooh. Yeah she fuck with me like a misfit  [Verse 1] Hit the race. Yeah that boy fast but I’m furious First place. Rippin’ up the drag. He delirious Bloody face. He gone need a rag like a period Third base. Make his girl laugh, now he serious  Aye. Hide it in my sock. Bitch I’m Carti Aye Aye. Yeah I let it rock like I’m Lil Wayne Aye. Yeah I let it rip like a fucking bey blade Break a bitch back and she call me bane. Aye Aye uhh. Bitch I ain’t a playa Pull up on a pussy like you know that i’m a slaya Ball up in her DM’s like I’m bouta make a lay up Strapped up. Wrapped up. Make her pussy pay up. Aye  [Chorus] Rip it like a Razor Ripstick and I risk it Instinct. She suckin’ my dick with her lipstick Ooh. Check up on a bitch like a dipstick Ooh. Yeah she fuck with me like a misfit  Rip it like a Razor Ripstick and I risk it Instinct. She suckin’ my dick with her lipstick Ooh. Check up on a bitch like a dipstick Ooh. Yeah she fuck with me like a misfit  [Verse 2] Done with it. Ima run with it. What you want with it? One minute. I got one vision. Going dumb with it Fuck a limit. I’m not fucking with it. You a fucking pussy Fuck a limit. I’m not fucking with it. You a fucking pussy  Ah Aha Shawty wanna give me some shlop top Bitch I’m Derrick Fisher with my shot. Ya thought Dunder Mifflin with my paper. Michael Scott Like. Aha. Aye Bitch I got the service like I’m Landspeed. Aye Don’t you fuckin’ tell me that I can’t speed. Aye She throwing it back getting nasty Aye Fuck an Uber. Call a bitch a Taxi Aye  [Chorus] Rip it like a Razor Ripstick and I risk it Instinct. She suckin’ my dick with her lipstick Ooh. Check up on a bitch like a dipstick Ooh. Yeah she fuck with me like a misfit  Rip it like a Razor Ripstick and I risk it Instinct. She suckin’ my dick with her lipstick Ooh. Check up on a bitch like a dipstick Ooh. Yeah she fuck with me like a misfit",2:34,anger,hip hop,Phase 4: The Final Chapter,4th August 2019,C Maj,100,-4.28db,4-Apr,Yes,43,86,90,58,9,5,5,0,0,0,0,0,0,0,0,0,0,"Laa Lee,Ireland Boss",Tip Inna It,0.987756536,Logic,Pardon My Ego,0.9867918,Dennis Lloyd,Wild West,0.984679494
$atori Zoom,HONEY,"[Intro] (YUKi) Ayy Ayy  [Chorus] When we fuckin' all night lil' shawty throw it back I be hittin' like mike when I'm oozy off a jack I be gettin' real tight when you tell me how to act We ain't sipping on Sprite, lil' baby that's a fact When we fuckin' all night lil' shawty throw it back I be hittin' like mike when I'm oozy off a jack I be gettin' real tight when you tell me how to act We ain't sipping on Sprite, lil' baby that's a fact, ayy ayy  [Verse 1] Ooh And I'm walkin' all in my Dior, dripping Motherfuckin' murder all she wrote, tripping They tellin' me ""Zoom you my hero"", listen I'ma need a couple more zeroes, instant Baby, you don't wanna play me Glock-17, lil' bitch don't even got the safety Ooh, lately, I been feelin' wavy I be outta pocket like a motherfucking chain be In the trenches They be in my mentions I'm fighting my demons so the bitch just go repent shit Ooh, I be on the court like a motherfuckin' lawyer Take it to the back, it ain't nothing but a spoiler Playing with the ice, lil' shawty I'm an Oiler I don't play nice, Godzilla I'm Destroyah Ayy, hit 'em with the blade I be gettin' faded, kill a roach no way [Chorus] When we fuckin' all night lil' shawty throw it back I be hittin' like mike when I'm oozy off a jack I be gettin' real tight when you tell me how to act We ain't sipping on Sprite, lil' baby that's a fact When we fuckin' all night lil' shawty throw it back I be hittin' like mike when I'm oozy off a jack I be gettin' real tight when you tell me how to act We ain't sipping on Sprite, lil' baby that's a fact, ayy ayy  [Verse 2] Double dutch, double-dee-double-dee-double-double dutch Fuck it up, Mommy my money, my honey coming up Hoppin' up, solvin' a puzzle you dummy dumb enough Lovin' up, fuckin' your boo thing thinkin' we cuddled up Ooh, I put it on the motherfuckin' hood, say what I pull up on a shawty, ""What's good"", say what Puffin on a motherfuckin' wood, say what Chuggin' all the money like I should, say what Bitch, sloppy my toppy I'm boutta poppy my toppy Like I'ma bomb Nagasaki I said what, bitch I'm on a molly and I go poppin' an ollie, like I'ma drop a tsunami I said I go chasin' the mother fuckin bag Don't misplace it I'm coming right back Dope sick wave shit sippin' on my jack Focus face it I'm fuckin with her back Never said shit They just want attention Juggin' all my drip until I go for my extension [Chorus] When we fuckin' all night lil' shawty throw it back I be hittin' like mike when I'm oozy off a jack I be gettin' real tight when you tell me how to act We ain't sipping on Sprite, lil' baby that's a fact When we fuckin' all night lil' shawty throw it back I be hittin' like mike when I'm oozy off a jack I be gettin' real tight when you tell me how to act We ain't sipping on Sprite, lil' baby that's a fact, ayy ayy",2:53,sadness,hip hop,HONEY,18th February 2020,C Maj,95,-8.96db,4-Apr,Yes,39,56,83,35,27,10,26,5,0,0,0,0,0,0,1,0,0,"Lil Bean,ZayBang",Real Nigga Holiday,0.989201223,"Atmosphere,Slug,Ant",Shoulda Known,0.98612609,CYNE,Soapbox,0.984554827
$atori Zoom,REVENGE,"[Chorus] Caught him in the beamer and I had to 2Pac him Ima pull up wit a Glock, wrist watch, ima rock em Aye. Skrt up in the coupe, yeah fucked around and shot em Yuh. Bitch I hit a lick, Slick rick, yeah I got em  Caught him in the beamer and I had to 2Pac him Ima pull up wit a Glock, wrist watch, ima rock em Aye. Skrt up in the coupe, yeah fucked around and shot em Yuh. Bitch I hit a lick, Slick rick, yeah I got em  [Verse 1] Gang shit. I love the way she buss it down And I’m fucking with the way she wanna come around Got a 9 millimeter in the fucking round Better hide when I pull up with the fucking round  Gang gang Gon’ pull up and bang bang Aye mane. Do the race like i’m Tay K Bang bang. Make a tape like i’m Ray J Melee. Stay faded the same day Rockin’ all black air force ones bitch I turn nothing into something I love the way yo girl suck it Geekin’ off some Robitussin  [Chorus] Caught him in the beamer and I had to 2Pac him Ima pull up wit a Glock, wrist watch, ima rock em Aye. Skrt up in the coupe, yeah fucked around and shot em Yuh. Bitch I hit a lick, Slick rick, yeah I got em  Caught him in the beamer and I had to 2Pac him Ima pull up wit a Glock, wrist watch, ima rock em Aye. Skrt up in the coupe, yeah fucked around and shot em Yuh. Bitch I hit a lick, Slick rick, yeah I got em  [Versre 2] Pull up to his hood and ima fade em up Pull up on his shorty, ima bang her out Gang in the cut smokin’ indica On my reckless shit, super saiyan now  Who am I? Truth the god I don’t really know but Ima shoot the sky Who am I? Truth and lies Fuckin’ with the bitches and i’m stupid high Pop pills. Ima pull up to Fox Hills And rock ill Docs. I’m a lot to not kill Pull up with a chain, couple rings, and got grills Stop ’til I get an arrow to my heel  [Chorus] Caught him in the beamer and I had to 2Pac him Ima pull up wit a Glock, wrist watch, ima rock em Aye. Skrt up in the coupe, yeah fucked around and shot em Yuh. Bitch I hit a lick, Slick rick, yeah I got em  Caught him in the beamer and I had to 2Pac him Ima pull up wit a Glock, wrist watch, ima rock em Aye. Skrt up in the coupe, yeah fucked around and shot em Yuh. Bitch I hit a lick, Slick rick, yeah I got em",2:14,anger,hip hop,Phase 4: The Final Chapter,4th August 2019,F Maj,100,-5.57db,4-Apr,Yes,38,61,94,27,5,8,4,0,0,0,0,0,0,0,0,0,0,City Girls,Money Fight,0.987984491,"Good Gas,FKi 1st,03 Greedo,G Perico",OOH,0.987883645,Saweetie,Pissed,0.985502781
$atori Zoom,BARRACUDA,[Chorus] She call me Luda bitch I rollout with my shooters She wanna fuck me in a Plymouth Barracuda I got my gun out. Yeah she know I’m finna shoot em I make my opps just disappear like the Bermuda  I got my gun out. Bitch I load it at the dug out I’m tryna cum now. Lil shorty got her tongue out She wanna fuck now but she know I gotta run out I jug a flow cuz I don’t wanna make one up now  [Verse] Oh bitch I’m riding. Shorty on some hoe shit City girls wilding. She just wanna show it Shorty let me slide in. Loving on the whole clit Where the fuck they hiding? Empty out the whole clip  Yeah that bitch stink Yeah her breath is some cigarette And I dip. Fuck my silhouette That’s my fucking shlat Pull up with the guns We gonna spray it like a fucking skunk What the fuck? You look fucking dumb Come and lick my Ones  69 charger with a blower on the top now Hippie bitch wanna hitch a ride with her top down PCH. Rolling with your girl. I’m on top now Stop now. She really on top of my cock now  Woah. Pull up to the fucking view. Yeah we finna smoke Pull up on yo fucking mans. Yeah I want the smoke I heard you beat her ass. I’m finna show you how to choke You a pussy hoe. Pass me the rope  [Chorus] She call me Luda bitch I rollout with my shooters She wanna fuck me in a Plymouth Barracuda I got my gun out. Yeah she know I’m finna shoot em I make my opps just disappear like the Bermuda  I got my gun out. Bitch I load it at the dug out I’m tryna cum now. Lil shorty got her tongue out She wanna fuck now but she know I gotta run out I jug a flow cuz I don’t wanna make one up now,2:08,love,hip hop,BARRACUDA,15th August 2019,D Maj,164,-7.88db,4-Apr,Yes,46,74,77,41,38,21,24,1,1,0,0,1,1,0,0,0,0,"Rich The Kid,French Montana",MegaDeath,0.984072522,Quadeca,Exposed RiceGum Diss Track,0.981532651,"Moneybagg Yo,Ari",Brain Dead,0.973412361
$atori Zoom,PINK DOLPHIN,"[Intro] With my Glock, yea i'm fuckin' hot, I don't fuck with opps Ima stop, I get sloppy top, like a lollipop Bodies drop, making bodies crop, like karate chops Mardi gra, in my fuckin' head, off a molly hot  (Trapaholics. Real. Trap. Shit.) (Oaker)  Ay Ay Ay Ay [Chorus] Woah bitch, yea, pink dolphin drip (Ayy) I'm rockin' margielas and a bust down on my wrist and i said Woah bitch, yea, really on my dick (Ayy) Boolin' wit' my AP and i'm pretty like a bitch and I said Woah bitch, yea, pink dolphin drip (Ayy) I'm rockin' margielas and a bust down on my wrist and i said Woah bitch, yea, really on my dick (Ayy) Boolin' wit' my AP and i'm pretty like a bitch and I said [Verse 1] Wo-ah-oh, wo-ah-oh-oh, wo-ah-oh (Ayy) Fuckin' Hoes, love is so motherfuckin' gross Sell my soul, shawty fine, ima suck her toes (Ayy) Horoscope, she a virgo, i'm a fuckin goat Ben 10 Omnitrix, I switch to a different bitch (Ayy) Everything I touch, finna' drip, take a fuckin' hint Bitches in, yea we finna' sin, but it all depends (Ayy) I defend, all my fuckin' friends, till the fuckin' end  [Bridge: Soulja Boy] I had to take them bullets They laughed at me, they said I killed hip-hop and now they doin' exactly what I did I'm the reason y'all doin' this, i'm the reason all these artists have social media, y'all should thank me  (Ayy, ayy, ay-ay-ay-ay-ay-ay-ay) Ay Ay Ay Ay [Chorus] Woah bitch, yea, pink dolphin drip (Ayy) I'm rockin' margielas and a bust down on my wrist and i said Woah bitch, yea, really on my dick (Ayy) Boolin' wit' my AP and i'm pretty like a bitch and I said Woah bitch, yea, pink dolphin drip (Ayy) I'm rockin' margielas and a bust down on my wrist and i said Woah bitch, yea, really on my dick (Ayy) Boolin' wit' my AP and i'm pretty like a bitch and I said [Verse 2] With my Glock, yea i'm fuckin' hot, I don't fuck with opps Ima stop, I get sloppy top, like a lollipop Bodies drop, making bodies crop, like karate chops (Ayy) Mardi gra, in my fuckin' head, off a molly hot Woah-ah-ay, ima' bite her with my fuckin' fang (Ayy) Woah-ah-ay, i'm actin' reckless with my fuckin' gang Woah-ah-ay, i'm sippin' JD when i'm feelin' pain (Ayy) Woah-ah-ay, if shorty feel me, I don't feel a thing  (Oaker)",2:27,love,hip hop,PINK DOLPHIN,7th January 2020,G# Maj,160,-6.34db,4-Apr,Yes,26,64,75,41,16,17,9,0,0,0,0,1,0,0,0,0,0,Devilish Trio,Tristar,0.986274464,"Smokepurpp,Ty Dolla $ign",Fill the Room Up,0.984080859,COCKAHOLICS,Big Tit Slappers,0.982871706
$atori Zoom,BREAK DOWN,"[Intro] Ayy, RiCh I don't know what y'all doin' I'm takin' care of my people Fuck the fame, fuck the clout Fuck everything that comes with it Yeah, bitch  [Chorus] I'ma break down, I'ma go dumb with a drum I'ma shake down, every single bum with a gun Don't hate now, bitch, I'm number one, have fun I'ma play now, I'm okay now (Ayo) I'ma break down, I'ma go dumb with a drum I'ma shake down, every single bum with a gun Don't hate now, bitch, I'm number one, have fun I'ma play now, I'm okay now (Ayo)  [Verse 1] I been posted on the block I been shoppin' till I drop Got my vape, it's worth the rock I don't hang with fuckin' opps, yeah Fuck it up and get turned Spin a fucking record I been feeling better You just finna get worse Goin' head first Shawty get in bеd first, no effort I take it to the nеxt verse [Verse 2] Ayo, I'ma sip her up like water Bitch, I'm magic with my dick, no Harry Potter Wanna apologize for dicking on your daughter, yeah, daughter Stop, I don't need no drink, no Wok Think I'd rather go and smoke crack rock You can see, I'm the G on the block (On the block) Real talk  [Chorus] I'ma break down, I'ma go dumb with a drum I'ma shake down, every single bum with a gun Don't hate now, bitch, I'm number one, have fun I'ma play now, I'm okay now (Ayo) I'ma break down, I'ma go dumb with a drum I'ma shake down, every single bum with a gun Don't hate now, bitch, I'm number one, have fun I'ma play now, I'm okay now (Ayo)  [Verse 3] Bapestas on my feet, we drippin' Walkin' like I think I'm limpin' Walkin' like I'm fuckin' pimpin' Told that bitch to wait a second, woah What you want? What you want? Lil' ho Yeah, I'm finna haunt these hoes, no ghost I don't want Barak Obama smoke, yeah 'Cause I been hot, no sauna, woah",2:02,joy,hip hop,BREAK DOWN,24th June 2021,F min,102,-10.92db,4-Apr,Yes,48,62,79,66,32,5,7,1,0,0,0,0,0,0,0,0,1,Quasimoto,Basic Instinct,0.984896666,"D.I.T.C.,Big L,Fat Joe",Way of Life,0.975481009,1takejay,This Beat Hit Wall Flower,0.974536988
$atori Zoom,DAMAGE,"[Chorus] 4, 5, 6, when he roll up  Holes up in his body when I shot him. I give no fucks Everybody dropping to the floor when I show up Bitch i’m playing god with these hoes. I control em Put em his place, hole in his face like a donut  Holes up in his body when I shot him. I give no fucks Everybody dropping to the floor when I show up Bitch i’m playing god with these hoes. I control em Put em his place, hole in his face like a donut  [Verse 1] Huh, Huh, Huh. Bitch I’m hitting that shit like What the fuck? Bitch what the fuck? Bitch you being fucking loud. Shut the fuck up Knock em’ straight into the ground. I fuck shit up  Up, Up, Up to sky I go And I fall right down straight to hell I know Bitch you see it in my eyes. I have no soul You know I don’t fuck around. I might unload Low with a foe yeah. Ima fucking lock out Broke some bones yeah. Ima fucking rock out I’m a fucking dropout. Ima fucking knockout Better fucking opt out  [Chorus] 4, 5, 6, when he roll up  Holes up in his body when I shot him. I give no fucks Everybody dropping to the floor when I show up Bitch i’m playing god with these hoes. I control em Put em his place, hole in his face like a donut  Holes up in his body when I shot him. I give no fucks Everybody dropping to the floor when I show up Bitch i’m playing god with these hoes. I control em Put em his place, hole in his face like a donut  [Verse 2] Disrespect my gang. And I’ll make you disappear Plotting on the opps. You don’t wanna interfere Double Homicide. I’m the only musketeer I don’t wanna ride with a pussy up in here Yuh  Bitch I’m fucked up. Yes i’m loaded Best believe she fucking rode it Load my Glock and then I tote it She said “daddy yes you own it” Popping pills oh yes I’m floating Got her roped up. Now she moaning Misbehaving. She provoke it She love how I have her choking  Low with a foe yeah. Ima fucking lock out Broke some bones yeah. Ima fucking rock out I’m a fucking dropout. Ima fucking knockout Better fucking opt out  [Chorus] 4, 5, 6, when he roll up  Holes up in his body when I shot him. I give no fucks Everybody dropping to the floor when I show up Bitch i’m playing god with these hoes. I control em Put em his place, hole in his face like a donut  Holes up in his body when I shot him. I give no fucks Everybody dropping to the floor when I show up Bitch i’m playing god with these hoes. I control em Put em his place, hole in his face like a donut",2:25,anger,hip hop,Phase 4: The Final Chapter,4th August 2019,C# Maj,100,-5.65db,4-Apr,Yes,27,63,78,41,9,9,50,3,0,0,0,0,0,0,0,0,0,Snow Tha Product,Funny,0.981166856,Raveena,Magic,0.975259887,Cal Scruby,Deja Vu,0.972531617
